Unnamed: 0,gene symbol,ensembl ID,overallAssociationScore,geneticAssociations,somaticMutations,drugs,pathwaysSystemsBiology,textMining,rnaExpression,animalModels,targetName,Open Targets,Consensus-RNAseq:Low,Proteomics-DB:Low,HPA-Ab:,Mouse Infertility,Druggable,CITDBase,normalized RNA expression,Ovarian stroma cells,Follicle cells
289,INS,ENSG00000254647,0.136306826,No data,No data,No data,No data,0.410213183,No data,0.578980834,insulin,True,,,,,,,0.1,not detected,not detected
290,PYY,ENSG00000131096,0.135174848,No data,No data,No data,No data,0.313326063,No data,0.597542723,peptide YY,True,,,,,,,0.1,not detected,not detected
291,IAPP,ENSG00000121351,0.133646833,No data,No data,No data,No data,0.325230272,No data,0.586926595,islet amyloid polypeptide,True,,,,,,,0.1,not detected,low
292,KIT,ENSG00000157404,0.13309559,No data,No data,0.041577734,No data,0.105381589,No data,0.601796716,"KIT proto-oncogene, receptor tyrosine kinase",True,,,,,,,28.5,not detected,medium
293,HTR2C,ENSG00000147246,0.132965372,No data,No data,No data,No data,0.292492412,No data,0.591703758,5-hydroxytryptamine receptor 2C,True,,,,,,,0.4,na,na
294,POMC,ENSG00000115138,0.13250069,No data,No data,No data,No data,0.227089507,No data,0.605731073,proopiomelanocortin,True,,,,,,,0.3,not detected,not detected
295,PDE6A,ENSG00000132915,0.13139312,No data,No data,0.073915971,No data,No data,No data,0.564570635,phosphodiesterase 6A,True,,,,,,,0.2,not detected,not detected
296,IL6,ENSG00000136244,0.130251408,No data,No data,No data,No data,0.253852292,No data,0.587793966,interleukin 6,True,,,,,,,5.3,not detected,na
297,HDAC6,ENSG00000094631,0.129178652,No data,No data,0.083155467,No data,No data,No data,0.541948926,histone deacetylase 6,True,,,,,,,18.7,low,na
298,TGM2,ENSG00000198959,0.12916526,No data,No data,No data,No data,0.458176242,No data,0.531282238,transglutaminase 2,True,,,,,,,18.7,not detected,na
299,HRH3,ENSG00000101180,0.128617471,No data,No data,0.073915971,No data,0.114569755,No data,0.537962418,histamine receptor H3,True,,,,,,,0.8,na,na
300,BMP4,ENSG00000125378,0.128075875,No data,No data,No data,No data,0.160498009,No data,0.600254873,bone morphogenetic protein 4,True,,,,,,,12.0,not detected,not detected
301,ADORA2A,ENSG00000128271,0.127907667,No data,No data,0.083155467,No data,0.038805885,No data,0.531282238,adenosine A2a receptor,True,,,,,,,1.2,not detected,not detected
302,IGFBP3,ENSG00000146674,0.127555817,No data,No data,No data,No data,0.480787871,No data,0.517582116,insulin like growth factor binding protein 3,True,,,,,,,49.2,na,na
303,ALMS1,ENSG00000116127,0.127109671,No data,No data,No data,No data,0.121179355,No data,0.605253514,ALMS1 centrosome and basal body associated protein,True,,,,,,,11.0,not detected,na
304,APOE,ENSG00000130203,0.12669176,No data,No data,No data,No data,0.189901359,No data,0.585983462,apolipoprotein E,True,,,,,,,23.5,not detected,na
305,UGT1A7,ENSG00000244122,0.126609397,0.126609397,No data,No data,No data,No data,No data,No data,UDP glucuronosyltransferase family 1 member A7,True,,,,,,,0.0,na,na
306,UGT1A4,ENSG00000244474,0.126005624,0.126005624,No data,No data,No data,No data,No data,No data,UDP glucuronosyltransferase family 1 member A4,True,,,,,,,0.0,na,na
307,CRH,ENSG00000147571,0.125893364,No data,No data,No data,No data,0.156149817,No data,0.590429365,corticotropin releasing hormone,True,,,,,,,0.2,na,na
308,AMH,ENSG00000104899,0.125821447,No data,No data,No data,No data,0.129241042,No data,0.596796973,anti-Mullerian hormone,True,—,CTB,—,,Y,True,1.1,na,na
309,GNAS,ENSG00000087460,0.125444453,No data,No data,No data,No data,0.102783626,No data,0.601526358,GNAS complex locus,True,,,,,,,43.6,not detected,not detected
310,PAX2,ENSG00000075891,0.125357271,No data,No data,No data,No data,0.108519938,No data,0.599656371,paired box 2,True,—,—,CTB,,Y,True,1.5,not detected,not detected
311,WNT9B,ENSG00000158955,0.125303099,No data,No data,No data,No data,0.214553362,No data,0.572877153,Wnt family member 9B,True,,,,,,,0.3,not detected,not detected
312,KL,ENSG00000133116,0.124878228,No data,No data,No data,No data,0.121377862,No data,0.594046676,klotho,True,,,,,,,0.4,na,na
313,LGALS3,ENSG00000131981,0.124772742,No data,No data,No data,No data,0.383182447,No data,0.528068097,galectin 3,True,,,,,,,58.9,low,not detected
314,GHRH,ENSG00000118702,0.124540232,No data,No data,No data,No data,0.22612697,No data,0.566169417,growth hormone releasing hormone,True,,,,,,,0.1,na,na
315,CXCR4,ENSG00000121966,0.124344937,No data,No data,0.092076714,No data,0.007391597,No data,0.505807502,C-X-C motif chemokine receptor 4,True,,,,,,,6.3,na,na
316,ADIPOQ,ENSG00000181092,0.124280485,No data,No data,No data,No data,0.185670187,No data,0.574984879,"adiponectin, C1Q and collagen domain containing",True,,,,,,,0.2,na,na
317,CEACAM5,ENSG00000105388,0.12381001,No data,No data,No data,No data,0.108316102,No data,0.591971026,CEA cell adhesion molecule 5,True,,,,,,,0.2,not detected,not detected
318,ACE,ENSG00000159640,0.12372455,No data,No data,No data,No data,0.176038251,No data,0.574613187,angiotensin I converting enzyme,True,,,,,,,1.4,not detected,not detected
319,BGLAP,ENSG00000242252,0.12363864,No data,No data,No data,No data,0.167501588,No data,0.576317805,bone gamma-carboxyglutamate protein,True,,,,,,,3.4,na,na
320,CEACAM7,ENSG00000007306,0.123541713,No data,No data,No data,No data,0.102950167,No data,0.591971026,CEA cell adhesion molecule 7,True,,,,,,,0.1,not detected,na
321,ZGLP1,ENSG00000220201,0.123529823,No data,No data,No data,No data,0.199624924,No data,0.567742886,zinc finger GATA like protein 1,True,,,,,,,3.9,low,low
322,PKD1,ENSG00000008710,0.123199027,No data,No data,No data,No data,0.04409293,No data,0.604971902,"polycystin 1, transient receptor potential channel interacting",True,,,,,,,6.8,not detected,not detected
323,CDKN1B,ENSG00000111276,0.122828992,No data,No data,No data,No data,0.053449252,No data,0.600782645,cyclin dependent kinase inhibitor 1B,True,,,,,,,46.2,high,high
324,WWTR1,ENSG00000018408,0.122779691,No data,No data,No data,No data,0.081307568,No data,0.593571564,WW domain containing transcription regulator 1,True,,,,,,,30.9,medium,medium
325,TNFRSF11B,ENSG00000164761,0.12254286,No data,No data,No data,No data,0.087587905,No data,0.590817324,TNF receptor superfamily member 11b,True,,,,,,,0.5,not detected,not detected
326,RET,ENSG00000165731,0.12252268,No data,No data,No data,No data,0.04501688,No data,0.601359181,ret proto-oncogene,True,,,,,,,0.8,not detected,not detected
327,FTO,ENSG00000140718,0.122438941,No data,No data,No data,No data,0.210660517,No data,0.559529575,FTO alpha-ketoglutarate dependent dioxygenase,True,,,,,,,21.2,low,medium
328,MECP2,ENSG00000169057,0.122414053,No data,No data,No data,No data,0.026132712,No data,0.605537086,methyl-CpG binding protein 2,True,,,,,,,29.0,high,medium
329,WNT7A,ENSG00000154764,0.122368067,No data,No data,No data,No data,0.084221089,No data,0.590785063,Wnt family member 7A,True,,,,,,,0.4,not detected,not detected
330,PTCH1,ENSG00000185920,0.122348456,No data,No data,No data,No data,0.041423742,No data,0.601386346,patched 1,True,,,,,,,5.2,medium,na
331,PRKAB1,ENSG00000111725,0.122332168,No data,No data,No data,No data,0.362400766,No data,0.521060648,protein kinase AMP-activated non-catalytic subunit beta 1,True,,,,,,,14.2,medium,low
332,AHR,ENSG00000106546,0.122331281,No data,No data,No data,No data,0.232931653,No data,0.55342349,aryl hydrocarbon receptor,True,,,,,,,21.3,not detected,na
333,NPHP3,ENSG00000113971,0.122262856,No data,No data,No data,No data,0.055436978,No data,0.597455036,nephrocystin 3,True,,,,,,,19.2,not detected,high
334,PRLH,ENSG00000071677,0.122022721,No data,No data,No data,No data,0.044349583,No data,0.599026211,prolactin releasing hormone,True,,,,,,,0.0,not detected,na
335,CGA,ENSG00000135346,0.121994975,No data,No data,No data,No data,0.061299388,No data,0.594650026,"glycoprotein hormones, alpha polypeptide",True,,,,,,,0.0,not detected,not detected
336,IFT88,ENSG00000032742,0.12186011,No data,No data,No data,No data,0.018478993,No data,0.604680801,intraflagellar transport 88,True,,,,,,,11.9,na,na
337,HOXA13,ENSG00000106031,0.1217527,No data,No data,No data,No data,0.04501688,No data,0.59750928,homeobox A13,True,F,—,—,CTB,—,True,0.1,na,na
338,RHO,ENSG00000163914,0.121619836,No data,No data,No data,No data,0.033159526,No data,0.599809299,rhodopsin,True,,,,,,,0.3,not detected,na
339,GPC3,ENSG00000147257,0.121590416,No data,No data,No data,No data,0.018478993,No data,0.603332332,glypican 3,True,,,,,,,6.0,na,na
340,HFE,ENSG00000010704,0.121570302,No data,No data,No data,No data,0.081153576,No data,0.587563118,homeostatic iron regulator,True,,,,,,,8.1,not detected,low
341,ASIP,ENSG00000148498,0.121542302,No data,No data,No data,No data,0.011087396,No data,0.604939664,agouti signaling protein,True,,,,,,,28.4,not detected,na
342,BCL2,ENSG00000171791,0.121533781,No data,No data,No data,No data,0.055016487,No data,0.593914785,BCL2 apoptosis regulator,True,,,,,,,18.2,high,na
343,GLI3,ENSG00000106571,0.121450935,No data,No data,No data,No data,0.025088312,No data,0.600982596,GLI family zinc finger 3,True,F,—,—,,—,True,17.6,not detected,low
344,IGF2R,ENSG00000197081,0.121356332,No data,No data,No data,No data,0.011087396,No data,0.60400981,insulin like growth factor 2 receptor,True,,,,,,,18.0,not detected,na
345,GCG,ENSG00000115263,0.121178524,No data,No data,No data,No data,0.298441524,No data,0.531282238,glucagon,True,,,,,,,0.2,not detected,not detected
346,PDE3B,ENSG00000152270,0.121162983,No data,No data,0.073915971,No data,No data,No data,0.513419952,phosphodiesterase 3B,True,,,,,,,0.9,na,na
347,NHLH2,ENSG00000177551,0.12115026,No data,No data,No data,No data,0.028950422,No data,0.598513694,nescient helix-loop-helix 2,True,,,,,,,0.2,na,na
348,IRS2,ENSG00000185950,0.121104812,No data,No data,No data,No data,0.027860161,No data,0.598559021,insulin receptor substrate 2,True,,,,,,,27.1,not detected,na
349,FAS,ENSG00000026103,0.121008904,No data,No data,No data,No data,0.092600286,No data,0.581894451,Fas cell surface death receptor,True,,,,,,,24.7,na,na
350,TCF7L2,ENSG00000148737,0.120994612,No data,No data,No data,No data,0.036957985,No data,0.595733564,transcription factor 7 like 2,True,,,,,,,25.6,high,na
351,PKD2,ENSG00000105287,0.120942406,No data,No data,No data,No data,0.022174791,No data,0.599168331,"polycystin 2, transient receptor potential cation channel",True,,,,,,,17.0,not detected,medium
352,LPO,ENSG00000167419,0.120934741,0.120934741,No data,No data,No data,No data,No data,No data,lactoperoxidase,True,,,,,,,0.0,not detected,not detected
353,KSR2,ENSG00000149970,0.120819971,No data,No data,No data,No data,0.014783194,No data,0.600404056,kinase suppressor of ras 2,True,,,,,,,1.9,na,na
354,CPE,ENSG00000109472,0.120760858,No data,No data,No data,No data,0.007391597,No data,0.601956392,carboxypeptidase E,True,,,,,,,23.4,not detected,not detected
355,PDGFRB,ENSG00000113721,0.120752625,No data,No data,0.041577734,No data,0.038805885,No data,0.547479191,platelet derived growth factor receptor beta,True,,,,,,,46.5,medium,not detected
356,CEACAM1,ENSG00000079385,0.120704079,No data,No data,No data,No data,0.046197482,No data,0.591971026,CEA cell adhesion molecule 1,True,,,,,,,2.5,not detected,not detected
357,PKHD1,ENSG00000170927,0.120659695,0.000172181,No data,No data,No data,0.018478993,No data,0.598583072,PKHD1 ciliary IPT domain containing fibrocystin/polyductin,True,,,,,,,0.1,not detected,na
358,THRA,ENSG00000126351,0.120570016,No data,No data,No data,No data,No data,No data,0.602850079,thyroid hormone receptor alpha,True,,,,,,,46.5,medium,na
359,IGF2,ENSG00000167244,0.120566661,No data,No data,No data,No data,0.095634375,No data,0.57892471,insulin like growth factor 2,True,,,,,,,20.4,not detected,not detected
360,B3GNT5,ENSG00000176597,0.120558589,No data,No data,No data,No data,No data,No data,0.602792947,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5",True,,,,,,,4.2,not detected,na
361,NPY1R,ENSG00000164128,0.120485125,No data,No data,No data,No data,No data,No data,0.602425623,neuropeptide Y receptor Y1,True,,,,,,,1.8,na,na
362,ADCY3,ENSG00000155897,0.120408791,No data,No data,No data,No data,0.007391597,No data,0.600196058,adenylate cyclase 3,True,,,,,,,0.3,not detected,low
363,CD36,ENSG00000135218,0.120401182,No data,No data,No data,No data,0.117822106,No data,0.572550385,CD36 molecule,True,,,,,,,2.5,not detected,not detected
364,FOXP3,ENSG00000049768,0.120397923,No data,No data,No data,No data,0.089109809,No data,0.579712163,forkhead box P3,True,,,,,,,0.6,not detected,na
365,BICC1,ENSG00000122870,0.120346192,No data,No data,No data,No data,No data,No data,0.601730958,BicC family RNA binding protein 1,True,,,,,,,19.0,na,na
366,NPY5R,ENSG00000164129,0.120330771,No data,No data,No data,No data,No data,No data,0.601653853,neuropeptide Y receptor Y5,True,,,,,,,0.5,na,na
367,TUB,ENSG00000166402,0.120293306,No data,No data,No data,No data,No data,No data,0.601466531,TUB bipartite transcription factor,True,,,,,,,17.9,not detected,not detected
368,MARK2,ENSG00000072518,0.120286821,No data,No data,No data,No data,0.052817116,No data,0.588229825,microtubule affinity regulating kinase 2,True,,,,,,,11.0,not detected,na
369,CDKN2C,ENSG00000123080,0.120268014,No data,No data,No data,No data,0.022174791,No data,0.595796372,cyclin dependent kinase inhibitor 2C,True,,,,,,,22.5,not detected,medium
370,TFAP2A,ENSG00000137203,0.120236811,No data,No data,No data,No data,0.042501683,No data,0.590558634,transcription factor AP-2 alpha,True,,,,,,,0.3,not detected,not detected
371,PTK7,ENSG00000112655,0.120221015,No data,No data,No data,No data,0.018478993,No data,0.596485325,protein tyrosine kinase 7 (inactive),True,,,,,,,42.6,medium,na
372,KDM3A,ENSG00000115548,0.120219013,No data,No data,No data,No data,No data,No data,0.601095065,lysine demethylase 3A,True,,,,,,,20.6,na,na
373,CNGA2,ENSG00000183862,0.120106411,No data,No data,No data,No data,No data,No data,0.600532054,cyclic nucleotide gated channel subunit alpha 2,True,,,,,,,0.0,na,na
374,MC3R,ENSG00000124089,0.120080811,No data,No data,No data,No data,No data,No data,0.600404056,melanocortin 3 receptor,True,,,,,,,0.0,not detected,not detected
375,UGT1A3,ENSG00000288702,0.120063091,0.120063091,No data,No data,No data,No data,No data,No data,UDP glucuronosyltransferase family 1 member A3,True,,,,,,,,na,na
376,MRAP2,ENSG00000135324,0.120062914,No data,No data,No data,No data,0.011087396,No data,0.597542723,melanocortin 2 receptor accessory protein 2,True,,,,,,,6.4,na,na
377,TBC1D32,ENSG00000146350,0.120047452,No data,No data,No data,No data,No data,No data,0.600237262,TBC1 domain family member 32,True,,,,,,,6.5,na,na
378,TFAP2B,ENSG00000008196,0.120036466,No data,No data,No data,No data,No data,No data,0.600182329,transcription factor AP-2 beta,True,,,,,,,0.0,not detected,na
379,BMP7,ENSG00000101144,0.120024913,No data,No data,No data,No data,No data,No data,0.600124565,bone morphogenetic protein 7,True,,,,,,,0.8,na,na
380,CLOCK,ENSG00000134852,0.120003866,No data,No data,No data,No data,0.055180326,No data,0.58622425,clock circadian regulator,True,,,,,,,11.7,medium,na
381,DZIP1L,ENSG00000158163,0.119969653,No data,No data,No data,No data,0.036957985,No data,0.590608771,DAZ interacting zinc finger protein 1 like,True,,,,,,,12.4,not detected,na
382,IGSF1,ENSG00000147255,0.119901734,No data,No data,No data,No data,0.05081723,No data,0.58680436,immunoglobulin superfamily member 1,True,,,,,,,1.0,not detected,not detected
383,POLG,ENSG00000140521,0.119856099,No data,No data,No data,No data,0.046005506,No data,0.587779119,"DNA polymerase gamma, catalytic subunit",True,,,,,,,16.6,low,medium
384,TWIST1,ENSG00000122691,0.11983911,No data,No data,No data,No data,0.041577734,No data,0.588801115,twist family bHLH transcription factor 1,True,,,,,,,6.2,na,na
385,RAI1,ENSG00000258436,0.119784011,No data,No data,No data,No data,No data,No data,0.598920055,retinoic acid induced 1,True,,,,,,,0.0,not detected,na
386,OTP,ENSG00000171540,0.119774328,No data,No data,No data,No data,No data,No data,0.598871639,orthopedia homeobox,True,,,,,,,0.0,not detected,not detected
387,CYS1,ENSG00000205795,0.119716614,No data,No data,No data,No data,No data,No data,0.598583072,cystin 1,True,,,,,,,6.9,na,na
388,FANCA,ENSG00000187741,0.119671886,No data,No data,No data,No data,0.066524374,No data,0.581728336,FA complementation group A,True,,,,,,,1.6,na,na
389,BRS3,ENSG00000102239,0.119635716,No data,No data,No data,No data,No data,No data,0.598178581,bombesin receptor subtype 3,True,,,,,,,2.9,na,na
390,DNAH11,ENSG00000105877,0.119554716,No data,No data,No data,No data,0.022174791,No data,0.59222988,dynein axonemal heavy chain 11,True,,,,,,,7.2,not detected,not detected
391,WDTC1,ENSG00000142784,0.119544605,No data,No data,No data,No data,No data,No data,0.597723023,WD and tetratricopeptide repeats 1,True,,,,,,,15.8,low,medium
392,NEIL1,ENSG00000140398,0.119544605,No data,No data,No data,No data,No data,No data,0.597723023,nei like DNA glycosylase 1,True,,,,,,,11.0,not detected,na
393,PITX2,ENSG00000164093,0.119534916,No data,No data,No data,No data,0.024022691,No data,0.591668909,paired like homeodomain 2,True,,,,,,,0.1,na,na
394,LAMC1,ENSG00000135862,0.119515821,No data,No data,No data,No data,0.080178296,No data,0.57753453,laminin subunit gamma 1,True,,,,,,,22.7,low,na
395,NPHP3-ACAD11,ENSG00000274810,0.119491007,No data,No data,No data,No data,No data,No data,0.597455036,NPHP3-ACAD11 readthrough (NMD candidate),True,,,,,,,6.0,na,na
396,SMARCA2,ENSG00000080503,0.119457161,No data,No data,No data,No data,0.014783194,No data,0.593590006,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",True,,,,,,,85.0,medium,medium
397,CSPG4,ENSG00000173546,0.119454841,No data,No data,No data,No data,0.037920946,No data,0.587793966,chondroitin sulfate proteoglycan 4,True,,,,,,,7.0,low,medium
398,AFP,ENSG00000081051,0.119432436,No data,No data,No data,No data,0.08130715,No data,0.576835393,alpha fetoprotein,True,,,,,,,0.3,not detected,not detected
399,HDC,ENSG00000112406,0.119406693,No data,No data,No data,No data,0.036957985,No data,0.587793966,histidine decarboxylase,True,,,,,,,19.3,not detected,na
400,ZBTB16,ENSG00000109906,0.11940175,No data,No data,No data,No data,0.023098741,No data,0.591234067,zinc finger and BTB domain containing 16,True,,,,,,,41.6,not detected,not detected
401,RB1,ENSG00000139687,0.11937373,No data,No data,No data,No data,0.028950422,No data,0.589631043,RB transcriptional corepressor 1,True,,,,,,,15.2,medium,na
402,SHH,ENSG00000164690,0.11935763,No data,No data,No data,No data,0.040551123,No data,0.586650368,sonic hedgehog signaling molecule,True,,,,,,,0.2,na,na
403,SQSTM1,ENSG00000161011,0.119351023,No data,No data,No data,No data,No data,No data,0.596755113,sequestosome 1,True,,,,,,,32.3,low,medium
404,FRAS1,ENSG00000138759,0.119332991,No data,No data,No data,No data,0.007391597,No data,0.594817053,Fraser extracellular matrix complex subunit 1,True,,,,,,,0.9,low,na
405,ZEB1,ENSG00000148516,0.11929343,No data,No data,No data,No data,No data,No data,0.596467149,zinc finger E-box binding homeobox 1,True,,,,,,,11.5,medium,na
406,DNAH5,ENSG00000039139,0.119209033,No data,No data,No data,No data,No data,No data,0.596045166,dynein axonemal heavy chain 5,True,,,,,,,0.0,not detected,na
407,UBR3,ENSG00000144357,0.119194817,No data,No data,No data,No data,No data,No data,0.595974087,ubiquitin protein ligase E3 component n-recognin 3,True,,,,,,,8.9,medium,medium
408,KCNJ11,ENSG00000187486,0.119188682,No data,No data,0.073915971,No data,0.011087396,No data,0.502316513,potassium inwardly rectifying channel subfamily J member 11,True,,,,,,,0.8,not detected,na
409,ITGB2,ENSG00000160255,0.119109998,No data,No data,No data,No data,0.10071051,No data,0.570372364,integrin subunit beta 2,True,,,,,,,6.6,not detected,not detected
410,TGFB1,ENSG00000105329,0.119105288,No data,No data,No data,No data,0.197398421,No data,0.546176833,transforming growth factor beta 1,True,,,,,,,15.3,not detected,not detected
411,DLG1,ENSG00000126787,0.1190684,No data,No data,No data,No data,0.066524374,No data,0.578710908,discs large MAGUK scaffold protein 1,True,,,,,,,0.7,not detected,na
412,TULP3,ENSG00000078246,0.119060339,No data,No data,No data,No data,No data,No data,0.595301695,TUB like protein 3,True,—,F,—,,Y,True,37.1,not detected,not detected
413,CSF1,ENSG00000184371,0.119030758,0.000199002,No data,No data,No data,0.053589079,No data,0.581645965,colony stimulating factor 1,True,,,,,,,16.9,na,na
414,CLCN7,ENSG00000103249,0.119021642,No data,No data,No data,No data,No data,No data,0.59510821,chloride voltage-gated channel 7,True,,,,,,,14.2,not detected,na
415,MCHR1,ENSG00000128285,0.118990535,No data,No data,No data,No data,0.024843979,No data,0.588741678,melanin concentrating hormone receptor 1,True,,,,,,,5.1,na,na
416,CC2D2A,ENSG00000048342,0.11897733,No data,No data,No data,No data,0.007391597,No data,0.593038749,coiled-coil and C2 domain containing 2A,True,,,,,,,6.5,not detected,na
417,AMHR2,ENSG00000135409,0.118974027,No data,No data,No data,No data,0.024164363,No data,0.588829045,anti-Mullerian hormone receptor type 2,True,,,,,,,38.2,na,na
418,SIRT1,ENSG00000096717,0.118969982,No data,No data,No data,No data,0.038805885,No data,0.585148437,sirtuin 1,True,,,,,,,26.6,low,na
419,CRTC1,ENSG00000105662,0.118962278,No data,No data,No data,No data,No data,No data,0.59481139,CREB regulated transcription coactivator 1,True,,,,,,,6.7,not detected,na
420,MITF,ENSG00000187098,0.118927807,No data,No data,No data,No data,0.049790619,No data,0.58219138,melanocyte inducing transcription factor,True,,,,,,,11.1,not detected,not detected
421,NCOA1,ENSG00000084676,0.11892527,No data,No data,No data,No data,No data,No data,0.594626349,nuclear receptor coactivator 1,True,,,,,,,17.2,medium,medium
422,SALL1,ENSG00000103449,0.118866193,No data,No data,No data,No data,No data,No data,0.594330967,spalt like transcription factor 1,True,,,,,,,5.2,high,high
423,WT1,ENSG00000184937,0.118837039,No data,No data,No data,No data,0.024843979,No data,0.587974202,WT1 transcription factor,True,F,CTB,—,M,Y,True,53.4,medium,na
424,LMX1A,ENSG00000162761,0.118834573,No data,No data,No data,No data,No data,No data,0.594172863,LIM homeobox transcription factor 1 alpha,True,,,,,,,0.0,na,na
425,IL18,ENSG00000150782,0.118820864,No data,No data,No data,No data,0.092088007,No data,0.571082317,interleukin 18,True,,,,,,,1.4,not detected,na
426,PAX8,ENSG00000125618,0.118761002,No data,No data,No data,No data,0.022174791,No data,0.588261312,paired box 8,True,,,,,,,3.8,not detected,na
427,SLC5A2,ENSG00000140675,0.118750643,No data,No data,No data,No data,0.220813697,No data,0.53854979,solute carrier family 5 member 2,True,,,,,,,0.0,not detected,na
428,IFT140,ENSG00000187535,0.118713752,No data,No data,No data,No data,No data,No data,0.59356876,intraflagellar transport 140,True,,,,,,,12.4,not detected,na
429,DNMT3L,ENSG00000142182,0.11867687,No data,No data,No data,No data,0.014783194,No data,0.589688551,DNA methyltransferase 3 like,True,,,,,,,0.1,not detected,low
430,LMNA,ENSG00000160789,0.118658339,No data,No data,No data,No data,No data,No data,0.593291697,lamin A/C,True,,,,,,,60.3,high,medium
431,GCK,ENSG00000168067,0.118630675,No data,No data,No data,No data,0.011087396,No data,0.590381524,glucokinase,True,,,,,,,4.2,low,na
432,TSC1,ENSG00000165699,0.11861523,No data,No data,No data,No data,0.02628842,No data,0.586504047,TSC complex subunit 1,True,,,,,,,21.2,medium,medium
433,GRIP1,ENSG00000155974,0.118609672,No data,No data,No data,No data,No data,No data,0.593048362,glutamate receptor interacting protein 1,True,,,,,,,1.7,not detected,na
434,INHBA,ENSG00000122641,0.11860348,No data,No data,No data,No data,No data,No data,0.593017401,inhibin subunit beta A,True,,,,,,,5.2,na,na
435,TSHR,ENSG00000165409,0.118552114,No data,No data,No data,No data,No data,No data,0.592760572,thyroid stimulating hormone receptor,True,,,,,,,0.1,not detected,not detected
436,ARNT2,ENSG00000172379,0.118540068,No data,No data,No data,No data,No data,No data,0.592700341,aryl hydrocarbon receptor nuclear translocator 2,True,,,,,,,9.3,not detected,not detected
437,LDLR,ENSG00000130164,0.118488694,No data,No data,No data,No data,0.014783194,No data,0.588747672,low density lipoprotein receptor,True,,,,,,,42.4,not detected,na
438,PTPN13,ENSG00000163629,0.118482743,No data,No data,No data,No data,0.018478993,No data,0.587793966,protein tyrosine phosphatase non-receptor type 13,True,,,,,,,24.1,not detected,low
439,CDK2,ENSG00000123374,0.118417373,No data,No data,No data,No data,0.026229904,No data,0.58552939,cyclin dependent kinase 2,True,,,,,,,14.2,not detected,na
440,CEACAM3,ENSG00000170956,0.118394205,No data,No data,No data,No data,No data,No data,0.591971026,CEA cell adhesion molecule 3,True,,,,,,,0.7,not detected,na
441,ANKRD26,ENSG00000107890,0.118394205,No data,No data,No data,No data,No data,No data,0.591971026,ankyrin repeat domain 26,True,,,,,,,10.0,not detected,na
442,CEACAM8,ENSG00000124469,0.118394205,No data,No data,No data,No data,No data,No data,0.591971026,CEA cell adhesion molecule 8,True,,,,,,,0.0,not detected,not detected
443,NMU,ENSG00000109255,0.118394205,No data,No data,No data,No data,No data,No data,0.591971026,neuromedin U,True,,,,,,,0.0,na,na
444,TLR5,ENSG00000187554,0.118394205,No data,No data,No data,No data,No data,No data,0.591971026,toll like receptor 5,True,,,,,,,22.5,na,na
445,ANKRD62,ENSG00000181626,0.118394205,No data,No data,No data,No data,No data,No data,0.591971026,ankyrin repeat domain 62,True,,,,,,,0.0,not detected,na
446,CEACAM6,ENSG00000086548,0.118394205,No data,No data,No data,No data,No data,No data,0.591971026,CEA cell adhesion molecule 6,True,,,,,,,0.3,not detected,na
447,LGR4,ENSG00000205213,0.118389234,No data,No data,No data,No data,0.007391597,No data,0.59009827,leucine rich repeat containing G protein-coupled receptor 4,True,,,,,,,12.5,not detected,na
448,UBE3A,ENSG00000114062,0.118357548,No data,No data,No data,No data,0.226158823,No data,0.535248033,ubiquitin protein ligase E3A,True,,,,,,,23.0,medium,na
449,SYNE2,ENSG00000054654,0.118265553,0.118265553,No data,No data,No data,No data,No data,No data,spectrin repeat containing nuclear envelope protein 2,True,,,,,,,22.8,low,na
450,METTL8,ENSG00000123600,0.118265553,0.118265553,No data,No data,No data,No data,No data,No data,methyltransferase like 8,True,,,,,,,6.4,na,na
451,IARS2,ENSG00000067704,0.118265553,0.118265553,No data,No data,No data,No data,No data,No data,"isoleucyl-tRNA synthetase 2, mitochondrial",True,,,,,,,20.5,medium,medium
452,NDUFS4,ENSG00000164258,0.118244611,No data,No data,0.082231518,No data,No data,No data,0.488433656,NADH:ubiquinone oxidoreductase subunit S4,True,,,,,,,35.7,low,low
453,HOXC10,ENSG00000180818,0.118240056,No data,No data,No data,No data,No data,No data,0.591200279,homeobox C10,True,,,,,,,3.4,medium,low
454,CES1,ENSG00000198848,0.118238221,No data,No data,No data,No data,No data,No data,0.591191107,carboxylesterase 1,True,,,,,,,3.9,not detected,not detected
455,PCNT,ENSG00000160299,0.118232009,No data,No data,No data,No data,0.028784111,No data,0.583964015,pericentrin,True,,,,,,,4.9,not detected,low
456,HMGB1,ENSG00000189403,0.118221461,No data,No data,No data,No data,0.355163161,No data,0.502316513,high mobility group box 1,True,,,,,,,56.1,high,na
457,FGFR2,ENSG00000066468,0.118211704,No data,No data,No data,No data,0.011087396,No data,0.58828667,fibroblast growth factor receptor 2,True,,,,,,,7.4,not detected,na
458,TPO,ENSG00000090534,0.118180979,No data,No data,No data,No data,0.055854809,No data,0.576941192,thyroid peroxidase,True,,,,,,,1.5,na,na
459,CDKN1C,ENSG00000129757,0.118163302,No data,No data,No data,No data,0.022944749,No data,0.585080325,cyclin dependent kinase inhibitor 1C,True,,,,,,,30.9,not detected,not detected
