gene symbol,ensembl ID,overallAssociationScore,geneticAssociations,somaticMutations,drugs,pathwaysSystemsBiology,textMining,rnaExpression,animalModels,targetName,Open Targets,Consensus-RNAseq:Low,Proteomics-DB:Low,HPA-Ab:,Mouse Infertility,Druggable,CITDBase,normalized RNA expression,Ovarian stroma cells,Follicle cells,MGI_ID
IFT172,ENSG00000138002,0.47691216700000005,0.445343725,No data,No data,No data,0.108632802,No data,0.583087598,intraflagellar transport 172,True,,,,,,,16.1,na,na,MGI:2682064
BTG4,ENSG00000137707,0.47638843299999994,0.473524189,No data,No data,No data,0.057284877,No data,No data,BTG anti-proliferation factor 4,True,,,,,,,0.0,na,na,MGI:1860140
PANX1,ENSG00000110218,0.474078559,0.473524189,No data,No data,No data,0.011087396,No data,No data,pannexin 1,True,,,,,,,9.0,not detected,high,MGI:1860055
IL11RA,ENSG00000137070,0.47049568700000005,0.447396946,No data,No data,No data,No data,No data,0.461974818,interleukin 11 receptor subunit alpha,True,,,,,,,11.5,low,na,MGI:107426
SRY,ENSG00000184895,0.46969748200000006,0.454583221,No data,No data,No data,0.152928577,No data,0.594119392,sex determining region Y,True,,,,,,,0.1,na,na,MGI:98660
GRIN2D,ENSG00000105464,0.46926580799999995,No data,No data,0.452098823,No data,No data,No data,0.343339685,glutamate ionotropic receptor NMDA type subunit 2D,True,,,,,,,0.0,not detected,not detected,MGI:95823
PTGS1,ENSG00000095303,0.467101456,No data,No data,0.466081261,No data,0.020403888,No data,No data,prostaglandin-endoperoxide synthase 1,True,,,,,,,3.6,not detected,not detected,MGI:97797
KISS1,ENSG00000170498,0.46659509899999996,0.453197297,No data,No data,No data,0.041729464,No data,0.579428277,KiSS-1 metastasis suppressor,True,,,,,,,0.2,not detected,not detected,MGI:2663985
BTK,ENSG00000010671,0.463145155,0.462898768,No data,No data,No data,0.011087396,No data,No data,Bruton tyrosine kinase,True,,,,,,,1.2,not detected,not detected,MGI:88216
ERCC4,ENSG00000175595,0.46197481799999995,0.461974818,No data,No data,No data,No data,No data,No data,"ERCC excision repair 4, endonuclease catalytic subunit",True,,,,,,,9.9,not detected,na,MGI:1354163
GRIN3A,ENSG00000198785,0.45487067200000003,No data,No data,0.452098823,No data,0.055436978,No data,No data,glutamate ionotropic receptor NMDA type subunit 3A,True,,,,,,,2.4,na,na,MGI:1933206
IFT74,ENSG00000096872,0.454008319,0.452735322,No data,No data,No data,0.057284877,No data,No data,intraflagellar transport 74,True,,,,,,,14.0,not detected,low,MGI:1914944
DMXL2,ENSG00000104093,0.453225814,0.452735322,No data,No data,No data,0.02207213,No data,No data,Dmx like 2,True,,,,,,,7.0,not detected,na,MGI:2444630
GRIN2B,ENSG00000273079,0.452098823,No data,No data,0.452098823,No data,No data,No data,No data,glutamate ionotropic receptor NMDA type subunit 2B,True,,,,,,,0.9,not detected,not detected,MGI:95821
GRIN2C,ENSG00000161509,0.452098823,No data,No data,0.452098823,No data,No data,No data,No data,glutamate ionotropic receptor NMDA type subunit 2C,True,,,,,,,0.4,na,na,MGI:95822
GRIN3B,ENSG00000116032,0.452098823,No data,No data,0.452098823,No data,No data,No data,No data,glutamate ionotropic receptor NMDA type subunit 3B,True,,,,,,,0.2,na,na,MGI:2150393
BCL11A,ENSG00000119866,0.44994359700000003,0.440527234,No data,No data,No data,0.188327265,No data,No data,BAF chromatin remodeling complex subunit BCL11A,True,,,,,,,1.6,not detected,na,MGI:106190
HERC2,ENSG00000128731,0.425642033,0.398127845,No data,No data,No data,0.022482774,No data,0.540291418,HECT and RLD domain containing E3 ubiquitin protein ligase 2,True,,,,,,,8.5,not detected,na,MGI:103234
RPE65,ENSG00000116745,0.417367665,0.390112069,No data,No data,No data,No data,No data,0.54511192,retinoid isomerohydrolase RPE65,True,,,,,,,0.1,na,na,MGI:98001
SIGMAR1,ENSG00000147955,0.415777337,0.184789927,No data,0.369579855,No data,No data,No data,No data,sigma non-opioid intracellular receptor 1,True,,,,,,,20.1,low,medium,MGI:1195268
ZNF596,ENSG00000172748,0.415777337,0.415777337,No data,No data,No data,No data,No data,No data,zinc finger protein 596,True,,,,,,,7.8,na,na,
PRLR,ENSG00000113494,0.406567439,0.369579855,No data,No data,No data,0.481605839,No data,0.525704655,prolactin receptor,True,,,,,,,3.2,na,na,MGI:97763
AIP,ENSG00000110711,0.402293911,0.369579855,No data,No data,No data,0.381068147,No data,0.484917514,aryl hydrocarbon receptor interacting protein,True,,,,,,,45.5,medium,high,MGI:109622
SNRPN,ENSG00000128739,0.40116975200000005,0.369579855,No data,No data,No data,0.226160359,No data,0.531282238,small nuclear ribonucleoprotein polypeptide N,True,,,,,,,28.4,not detected,na,MGI:98347
AIRE,ENSG00000160224,0.398897874,0.369579855,No data,No data,No data,0.007391597,No data,0.583075228,autoimmune regulator,True,,,,,,,0.3,na,na,MGI:1338803
ADRB1,ENSG00000043591,0.39864684100000003,0.000260934,No data,0.398581607,No data,No data,No data,No data,adrenoceptor beta 1,True,,,,,,,0.8,not detected,not detected,MGI:87937
GUCY2C,ENSG00000070019,0.39836920299999995,0.369579855,No data,No data,No data,No data,No data,0.575786958,guanylate cyclase 2C,True,,,,,,,0.2,na,na,MGI:106903
PDE5A,ENSG00000138735,0.396940433,No data,No data,0.394475164,No data,0.049305369,No data,No data,phosphodiesterase 5A,True,,,,,,,10.0,medium,na,MGI:2651499
MC2R,ENSG00000185231,0.39469568,0.369579855,No data,No data,No data,No data,No data,0.502316513,melanocortin 2 receptor,True,,,,,,,0.0,not detected,not detected,MGI:96928
OPRK1,ENSG00000082556,0.39216529,No data,No data,0.39216529,No data,No data,No data,No data,opioid receptor kappa 1,True,,,,,,,0.4,not detected,not detected,MGI:97439
KLB,ENSG00000134962,0.386758725,0.369579855,No data,No data,No data,0.02207213,No data,0.333767567,klotho beta,True,,,,,,,0.2,not detected,medium,MGI:1932466
OPRD1,ENSG00000116329,0.378819351,No data,No data,0.378819351,No data,No data,No data,No data,opioid receptor delta 1,True,,,,,,,0.5,not detected,not detected,MGI:97438
LARP7,ENSG00000174720,0.370642397,0.369579855,No data,No data,No data,0.021250842,No data,No data,"La ribonucleoprotein 7, transcriptional regulator",True,,,,,,,26.3,low,na,MGI:107634
TRPV1,ENSG00000196689,0.370319014,No data,No data,0.369579855,No data,0.014783194,No data,No data,transient receptor potential cation channel subfamily V member 1,True,,,,,,,5.1,na,na,MGI:1341787
DMRT1,ENSG00000137090,0.369949435,0.369579855,No data,No data,No data,0.007391597,No data,No data,doublesex and mab-3 related transcription factor 1,True,—,CTB,—,M,Y,True,0.0,not detected,na,MGI:1354733
SOX10,ENSG00000100146,0.369911204,0.340013466,No data,No data,No data,0.133397108,No data,0.538667145,SRY-box transcription factor 10,True,,,,,,,2.4,not detected,not detected,MGI:98358
GMNN,ENSG00000112312,0.369579855,0.369579855,No data,No data,No data,No data,No data,No data,geminin DNA replication inhibitor,True,—,F,—,,Y,True,7.2,not detected,na,MGI:1927344
NNT,ENSG00000112992,0.369579855,0.369579855,No data,No data,No data,No data,No data,No data,nicotinamide nucleotide transhydrogenase,True,,,,,,,5.8,not detected,na,MGI:109279
FAAH,ENSG00000117480,0.369579855,No data,No data,0.369579855,No data,No data,No data,No data,fatty acid amide hydrolase,True,,,,,,,2.7,not detected,na,MGI:109609
MRAP,ENSG00000170262,0.369579855,0.369579855,No data,No data,No data,No data,No data,No data,melanocortin 2 receptor accessory protein,True,,,,,,,0.8,not detected,na,MGI:1924287
P2RY12,ENSG00000169313,0.365343908,No data,No data,0.364974328,No data,0.007391597,No data,No data,purinergic receptor P2Y12,True,,,,,,,2.2,not detected,not detected,MGI:1918089
CEP19,ENSG00000174007,0.363389161,0.332621869,No data,No data,No data,0.036957985,No data,0.598920055,centrosomal protein 19,True,,,,,,,3.8,not detected,not detected,MGI:1914244
RAB3GAP1,ENSG00000115839,0.336645395,0.332621869,No data,No data,No data,0.08047051,No data,No data,RAB3 GTPase activating protein catalytic subunit 1,True,,,,,,,31.3,not detected,high,MGI:2445001
TNFRSF1A,ENSG00000067182,0.334469768,0.332621869,No data,No data,No data,0.036957985,No data,No data,TNF receptor superfamily member 1A,True,,,,,,,59.5,not detected,low,MGI:1314884
KCNN4,ENSG00000104783,0.334093839,No data,No data,0.331595259,No data,0.049971606,No data,No data,potassium calcium-activated channel subfamily N member 4,True,,,,,,,1.3,not detected,not detected,MGI:1277957
VDR,ENSG00000111424,0.321247212,No data,No data,0.281291334,No data,0.466557694,No data,0.591758588,vitamin D receptor,True,,,,,,,1.3,na,na,MGI:103076
PIK3CA,ENSG00000121879,0.311362271,No data,0.277184891,No data,No data,0.327566662,No data,0.537962418,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",True,,,,,,,15.4,low,na,MGI:1206581
CCDC170,ENSG00000120262,0.310149171,0.0001635,0.310108296,No data,No data,No data,No data,No data,coiled-coil domain containing 170,True,F,—,—,—,—,True,14.4,not detected,not detected,MGI:2685067
SCN9A,ENSG00000169432,0.306983595,No data,No data,0.277184891,No data,No data,No data,0.595974087,sodium voltage-gated channel alpha subunit 9,True,,,,,,,2.1,not detected,medium,MGI:107636
KIF7,ENSG00000166813,0.304975065,0.275593644,No data,No data,No data,0.009239496,No data,0.583521963,kinesin family member 7,True,,,,,,,10.9,low,na,MGI:1098239
RRM1,ENSG00000167325,0.301552147,No data,No data,0.301182567,No data,0.007391597,No data,No data,ribonucleotide reductase catalytic subunit M1,True,,,,,,,13.6,not detected,low,MGI:98180
SCN8A,ENSG00000196876,0.301517977,No data,No data,0.277184891,No data,No data,No data,0.486661726,sodium voltage-gated channel alpha subunit 8,True,,,,,,,1.8,na,na,MGI:103169
POLD2,ENSG00000106628,0.301182567,No data,No data,0.301182567,No data,No data,No data,No data,"DNA polymerase delta 2, accessory subunit",True,,,,,,,24.4,not detected,high,MGI:1097163
POLD3,ENSG00000077514,0.301182567,No data,No data,0.301182567,No data,No data,No data,No data,"DNA polymerase delta 3, accessory subunit",True,,,,,,,15.9,medium,na,MGI:1915217
POLE3,ENSG00000148229,0.301182567,No data,No data,0.301182567,No data,No data,No data,No data,"DNA polymerase epsilon 3, accessory subunit",True,,,,,,,15.4,not detected,na,MGI:1933378
POLD4,ENSG00000175482,0.301182567,No data,No data,0.301182567,No data,No data,No data,No data,"DNA polymerase delta 4, accessory subunit",True,,,,,,,13.0,na,na,MGI:1916995
POLA1,ENSG00000101868,0.301182567,No data,No data,0.301182567,No data,No data,No data,No data,"DNA polymerase alpha 1, catalytic subunit",True,,,,,,,12.9,low,low,MGI:99660
POLA2,ENSG00000014138,0.301182567,No data,No data,0.301182567,No data,No data,No data,No data,"DNA polymerase alpha 2, accessory subunit",True,,,,,,,10.3,low,na,MGI:99690
PRIM1,ENSG00000198056,0.301182567,No data,No data,0.301182567,No data,No data,No data,No data,DNA primase subunit 1,True,,,,,,,9.7,low,na,MGI:97757
POLE,ENSG00000177084,0.301182567,No data,No data,0.301182567,No data,No data,No data,No data,"DNA polymerase epsilon, catalytic subunit",True,,,,,,,8.7,na,na,MGI:1196391
