gene symbol,ensembl ID,overallAssociationScore,geneticAssociations,somaticMutations,drugs,pathwaysSystemsBiology,textMining,rnaExpression,animalModels,targetName,Open Targets,Consensus-RNAseq:Low,Proteomics-DB:Low,HPA-Ab:,Mouse Infertility,Druggable,CITDBase,normalized RNA expression,Ovarian stroma cells,Follicle cells
FOXP3,ENSG00000049768,0.120397923,No data,No data,No data,No data,0.089109809,No data,0.579712163,forkhead box P3,TRUE,,,,,,,0.6,not detected,na
BICC1,ENSG00000122870,0.120346192,No data,No data,No data,No data,No data,No data,0.601730958,BicC family RNA binding protein 1,TRUE,,,,,,,19,na,na
NPY5R,ENSG00000164129,0.120330771,No data,No data,No data,No data,No data,No data,0.601653853,neuropeptide Y receptor Y5,TRUE,,,,,,,0.5,na,na
TUB,ENSG00000166402,0.120293306,No data,No data,No data,No data,No data,No data,0.601466531,TUB bipartite transcription factor,TRUE,,,,,,,17.9,not detected,not detected
MARK2,ENSG00000072518,0.120286821,No data,No data,No data,No data,0.052817116,No data,0.588229825,microtubule affinity regulating kinase 2,TRUE,,,,,,,11,not detected,na
CDKN2C,ENSG00000123080,0.120268014,No data,No data,No data,No data,0.022174791,No data,0.595796372,cyclin dependent kinase inhibitor 2C,TRUE,,,,,,,22.5,not detected,medium
TFAP2A,ENSG00000137203,0.120236811,No data,No data,No data,No data,0.042501683,No data,0.590558634,transcription factor AP-2 alpha,TRUE,,,,,,,0.3,not detected,not detected
PTK7,ENSG00000112655,0.120221015,No data,No data,No data,No data,0.018478993,No data,0.596485325,protein tyrosine kinase 7 (inactive),TRUE,,,,,,,42.6,medium,na
KDM3A,ENSG00000115548,0.120219013,No data,No data,No data,No data,No data,No data,0.601095065,lysine demethylase 3A,TRUE,,,,,,,20.6,na,na
CNGA2,ENSG00000183862,0.120106411,No data,No data,No data,No data,No data,No data,0.600532054,cyclic nucleotide gated channel subunit alpha 2,TRUE,,,,,,,0,na,na
MC3R,ENSG00000124089,0.120080811,No data,No data,No data,No data,No data,No data,0.600404056,melanocortin 3 receptor,TRUE,,,,,,,0,not detected,not detected
UGT1A3,ENSG00000288702,0.120063091,0.120063091,No data,No data,No data,No data,No data,No data,UDP glucuronosyltransferase family 1 member A3,TRUE,,,,,,,,na,na
MRAP2,ENSG00000135324,0.120062914,No data,No data,No data,No data,0.011087396,No data,0.597542723,melanocortin 2 receptor accessory protein 2,TRUE,,,,,,,6.4,na,na
TBC1D32,ENSG00000146350,0.120047452,No data,No data,No data,No data,No data,No data,0.600237262,TBC1 domain family member 32,TRUE,,,,,,,6.5,na,na
TFAP2B,ENSG00000008196,0.120036466,No data,No data,No data,No data,No data,No data,0.600182329,transcription factor AP-2 beta,TRUE,,,,,,,0,not detected,na
BMP7,ENSG00000101144,0.120024913,No data,No data,No data,No data,No data,No data,0.600124565,bone morphogenetic protein 7,TRUE,,,,,,,0.8,na,na
CLOCK,ENSG00000134852,0.120003866,No data,No data,No data,No data,0.055180326,No data,0.58622425,clock circadian regulator,TRUE,,,,,,,11.7,medium,na
DZIP1L,ENSG00000158163,0.119969653,No data,No data,No data,No data,0.036957985,No data,0.590608771,DAZ interacting zinc finger protein 1 like,TRUE,,,,,,,12.4,not detected,na
IGSF1,ENSG00000147255,0.119901734,No data,No data,No data,No data,0.05081723,No data,0.58680436,immunoglobulin superfamily member 1,TRUE,,,,,,,1,not detected,not detected
POLG,ENSG00000140521,0.119856099,No data,No data,No data,No data,0.046005506,No data,0.587779119,"DNA polymerase gamma, catalytic subunit",TRUE,,,,,,,16.6,low,medium
TWIST1,ENSG00000122691,0.11983911,No data,No data,No data,No data,0.041577734,No data,0.588801115,twist family bHLH transcription factor 1,TRUE,,,,,,,6.2,na,na
RAI1,ENSG00000258436,0.119784011,No data,No data,No data,No data,No data,No data,0.598920055,retinoic acid induced 1,TRUE,,,,,,,0,not detected,na
OTP,ENSG00000171540,0.119774328,No data,No data,No data,No data,No data,No data,0.598871639,orthopedia homeobox,TRUE,,,,,,,0,not detected,not detected
CYS1,ENSG00000205795,0.119716614,No data,No data,No data,No data,No data,No data,0.598583072,cystin 1,TRUE,,,,,,,6.9,na,na
FANCA,ENSG00000187741,0.119671886,No data,No data,No data,No data,0.066524374,No data,0.581728336,FA complementation group A,TRUE,,,,,,,1.6,na,na
BRS3,ENSG00000102239,0.119635716,No data,No data,No data,No data,No data,No data,0.598178581,bombesin receptor subtype 3,TRUE,,,,,,,2.9,na,na
DNAH11,ENSG00000105877,0.119554716,No data,No data,No data,No data,0.022174791,No data,0.59222988,dynein axonemal heavy chain 11,TRUE,,,,,,,7.2,not detected,not detected
WDTC1,ENSG00000142784,0.119544605,No data,No data,No data,No data,No data,No data,0.597723023,WD and tetratricopeptide repeats 1,TRUE,,,,,,,15.8,low,medium
NEIL1,ENSG00000140398,0.119544605,No data,No data,No data,No data,No data,No data,0.597723023,nei like DNA glycosylase 1,TRUE,,,,,,,11,not detected,na
PITX2,ENSG00000164093,0.119534916,No data,No data,No data,No data,0.024022691,No data,0.591668909,paired like homeodomain 2,TRUE,,,,,,,0.1,na,na
LAMC1,ENSG00000135862,0.119515821,No data,No data,No data,No data,0.080178296,No data,0.57753453,laminin subunit gamma 1,TRUE,,,,,,,22.7,low,na
NPHP3-ACAD11,ENSG00000274810,0.119491007,No data,No data,No data,No data,No data,No data,0.597455036,NPHP3-ACAD11 readthrough (NMD candidate),TRUE,,,,,,,6,na,na
SMARCA2,ENSG00000080503,0.119457161,No data,No data,No data,No data,0.014783194,No data,0.593590006,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",TRUE,,,,,,,85,medium,medium
CSPG4,ENSG00000173546,0.119454841,No data,No data,No data,No data,0.037920946,No data,0.587793966,chondroitin sulfate proteoglycan 4,TRUE,,,,,,,7,low,medium
AFP,ENSG00000081051,0.119432436,No data,No data,No data,No data,0.08130715,No data,0.576835393,alpha fetoprotein,TRUE,,,,,,,0.3,not detected,not detected
HDC,ENSG00000112406,0.119406693,No data,No data,No data,No data,0.036957985,No data,0.587793966,histidine decarboxylase,TRUE,,,,,,,19.3,not detected,na
